Asset/Collateral,Asset Contract Address,Asset Decimals,Collateral Contract Address,Collateral Decimals,Pool Address,TVL ($),Borrowed ($),Supply APR %,Available ($),Borrow APR %
BUSD/WBNB,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0xAfa2526F518956a1FE1fF6f3Aef9A90007a64052,14478.00,961.00,0.00,13517.00,0.00
USDC/ETH,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,0x591f6fd601DAD61B9565A7896977BaF69aA403c2,5650.00,1267.00,0.00,4383.00,0.00
WBNB/BUSD,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0xeA3d9D00de6C14bf8507f46C46c29292bBFA8D25,3176.00,1456.00,0.00,1719.00,0.00
USDC/WBNB,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0xe9E73d71eD122c7b5c9DC3c5087645eaD294A11D,1042.00,37.00,0.00,1005.00,0.00
USDC/BUSD,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x97f01f3cB7761dc951d1504ad01fC2c941A2A8eF,513.00,37.00,0.00,476.00,0.00
USDT/WBNB,0x55d398326f99059ff775485246999027b3197955,18,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0x754b7E699f6a8C2BE209385bcFd2dD7aC3574fD7,231.00,182.00,0.00,49.00,0.00
ETH/BUSD,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x42aef1b700B9961107fDCc3b2fe82a9a3DF7225c,194.00,1.00,-,192.00,0.00
USDT/DOT,0x55d398326f99059ff775485246999027b3197955,18,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,18,0x1e581f23632F9A4159e67f3Ed720593212baBD76,115.00,78.00,0.00,36.00,0.00
USDT/BUSD,0x55d398326f99059ff775485246999027b3197955,18,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x5d8CB9291571344ac7fC960639C5d51d93c8B36F,7.00,0.00,-,7.00,0.00
BUSD/ADA,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,18,0x5cbF74cB0e614B403949D523a4c62391EB86f578,1.00,0.00,-,1.00,0.00
USDC/CAKE,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,18,0xf843f4c648872616A3Ab4165Db49E8613bD421B5,1.00,0.00,0.03,0.00,0.00
WBNB/ADA,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,18,0xd7EB21BCC97566e05bF621557d786F1f38F54723,0.00,0.00,-,0.00,0.00
WBNB/XVS,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,18,0x45d2D8cF3EA501380c8820e2986dED21E8Fbc64E,0.00,0.00,-,0.00,0.00
USDT/ETH,0x55d398326f99059ff775485246999027b3197955,18,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,0x613CBFDEa432DE2309Ae3415ba529CF938E597A8,0.00,0.00,-,0.00,0.00
BUSD/XTZ,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x16939ef78684453bfdfb47825f8a5f714f12623a,18,0x3978832A9c8d5e824283b6079f8A374DabC08771,0.00,0.00,-,0.00,0.00
WBNB/USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0x55d398326f99059ff775485246999027b3197955,18,0xE6Ad20580761a4b3E9aE67408a8D3c6c9263A26a,0.00,0.00,-,0.00,0.00
WBNB/WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0x15d01C8dBbE4eE1e2108825c85d27Cf51291Fd83,0.00,0.00,-,0.00,0.00
WBNB/CAKE,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,18,0xaF9EE63B470621920E52DA06D360b65048f97FA6,0.00,0.00,-,0.00,0.00
BUSD/BTCB,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,18,0x8fED0A877Ce48A493f32D2A769cb2EE496f9d12f,0.00,0.00,-,0.00,0.00
BUSD/DOT,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,18,0x9fe8a186b5b96993e4C5518a517913b86FfF93d7,0.00,0.00,-,0.00,0.00
BUSD/ETH,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,0xB14b40C55892288AdE4C70ad878e34c7ED8a268F,0.00,0.00,-,0.00,0.00
BUSD/DAI,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,18,0xd98A51855641D496d053c05985F4c66E4a572913,0.00,0.00,-,0.00,0.00
USDC/ADA,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,18,0x8e7D5F01DD0B8Ea1B0BA566977Cc10d6CAa05fe5,0.00,0.00,-,0.00,0.00
USDC/USDT,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,0x55d398326f99059ff775485246999027b3197955,18,0xed3359dCCFB71919a5645c5c32b9F71267D97950,0.00,0.00,-,0.00,0.00
BUSD/LTC,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x4338665cbb7b2485a8855a139b75d5e34ab0db94,18,0x0dd006632968E0326876B3Ce679c4b1AF51617EC,0.00,0.00,-,0.00,0.00
USDC/YFI,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e,18,0x1A28936Cb998AEF0bF125baC8297aB406761462C,0.00,0.00,-,0.00,0.00
USDT/LINK,0x55d398326f99059ff775485246999027b3197955,18,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,18,0x1D8B1784FA9D28f43B9882Bf42F2Ab92aD6DB8a4,0.00,0.00,-,0.00,0.00
USDT/ADA,0x55d398326f99059ff775485246999027b3197955,18,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,18,0x228777e6014E8D40d44241035d6E91bfD3981e41,0.00,0.00,-,0.00,0.00
BUSD/XRP,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,18,0x2E80386D72E65194F23182260E32B0181986fd20,0.00,0.00,-,0.00,0.00
USDT/CAKE,0x55d398326f99059ff775485246999027b3197955,18,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,18,0x2f824a1315eE5a81213AA90BD74A9fE1bcb542b5,0.00,0.00,-,0.00,0.00
USDC/UNI,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,0xbf5140a22578168fd562dccf235e5d43a02ce9b1,18,0x300BC936c8Bd19B49000172731f1A2674CcFbbfA,0.00,0.00,-,0.00,0.00
USDT/LTC,0x55d398326f99059ff775485246999027b3197955,18,0x4338665cbb7b2485a8855a139b75d5e34ab0db94,18,0x32a93D31f143d83b6bc69a2BAce1521B83015025,0.00,0.00,-,0.00,0.00
BUSD/LINK,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,18,0x3d9691e5BAD0237091Bd73c35c64BA680D85600d,0.00,0.00,-,0.00,0.00
BUSD/EOS,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x56b6fb708fc5732dec1afc8d8556423a2edccbd6,18,0x471fC4C8C96D071a794e56Da074F409DbED527D7,0.00,0.00,-,0.00,0.00
BUSD/YFI,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e,18,0x4A8F4ba2994e59BaE2cDE5F78F29079Acd9bB67e,0.00,0.00,-,0.00,0.00
USDC/LINK,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,18,0x57b24075aeB216d1879c16494cc5E03B5E26430f,0.00,0.00,-,0.00,0.00
WBNB/BCH,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0x8ff795a6f4d97e7887c79bea79aba5cc76444adf,18,0x58430E50D8255ccD5F63DfC97D1d66aC98438c71,0.00,0.00,-,0.00,0.00
BUSD/CAKE,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,18,0x5d66B62303eC1dDEc67D71EAf65DDa455FCff6bD,0.00,0.00,-,0.00,0.00
WBNB/FIL,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153,18,0x72077E9609f21c03441493De8bF949B4aE756211,0.00,0.00,-,0.00,0.00
ETH/BTCB,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,18,0x7505e54845C750eb83eA45C4210C55860E58274C,0.00,0.00,-,0.00,0.00
WBNB/DAI,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,18,0x7a7910EfAe9858C970a18248a52e66B6A32a37eC,0.00,0.00,-,0.00,0.00
BUSD/CREAM,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0xd4cb328a82bdf5f03eb737f37fa6b370aef3e888,18,0x7d38097b9a16010c883B61A85ef5Cb70A9f17c18,0.00,0.00,-,0.00,0.00
WBNB/LINK,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,18,0x7E6f8dae66da56FA22003c5e1723C64a8e710B12,0.00,0.00,-,0.00,0.00
WBNB/DOT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,18,0x82871531bC86435Cdf8596881427a822475b88e8,0.00,0.00,-,0.00,0.00
ETH/DOT,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,18,0x8581a217374D41d52c87C0592f6EFA68a3FC9fB7,0.00,0.00,-,0.00,0.00
WBNB/USDC,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,0x8b392464177a398e209283F444678FD73A430017,0.00,0.00,-,0.00,0.00
WBNB/BTCB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,18,0x8D35E0E3110fdd0dc09fc7A64A918CA29804Ed11,0.00,0.00,-,0.00,0.00
USDT/UNI,0x55d398326f99059ff775485246999027b3197955,18,0xbf5140a22578168fd562dccf235e5d43a02ce9b1,18,0x937587a070F132fEdF76873a17317Ca533C99368,0.00,0.00,-,0.00,0.00
BUSD/USDT,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x55d398326f99059ff775485246999027b3197955,18,0x9788760cb03369AC87B5b7d5181a54151F1F7347,0.00,0.00,-,0.00,0.00
BUSD/FIL,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153,18,0x98EDb08f207442a97E394dD0bB37B340181636aA,0.00,0.00,-,0.00,0.00
BUSD/BAND,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18,18,0x9C66ab21BB953Ca19b654088Dcc3974597876D1C,0.00,0.00,-,0.00,0.00
ETH/ADA,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,18,0xa1B7857A655087143634d837437C687843b2F5aE,0.00,0.00,-,0.00,0.00
BUSD/UNI,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0xbf5140a22578168fd562dccf235e5d43a02ce9b1,18,0xB127F345cAf66C128F1A41EE762dbb6250cF1d7D,0.00,0.00,-,0.00,0.00
ETH/WBNB,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0xB67a83BD409fd50aC9539D2226473524c146313B,0.00,0.00,-,0.00,0.00
ETH/USDC,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,0xbB50F7f14E452BaAe2621698E8Cc95B0Ac0bAC61,0.00,0.00,-,0.00,0.00
USDC/DOT,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,18,0xD103b6e44B601D4152cE6BF3425DF3a36D20DeD4,0.00,0.00,-,0.00,0.00
USDC/BTCB,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,18,0xD13A18528452F5D7454192BF9fDadA298e39394A,0.00,0.00,-,0.00,0.00
BUSD/BCH,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x8ff795a6f4d97e7887c79bea79aba5cc76444adf,18,0xdb2475CA186d8035f006C026F3c4998864b70f91,0.00,0.00,-,0.00,0.00
BUSD/USDC,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,0xE078b804cf286D303753C6d34497f23390746f72,0.00,0.00,-,0.00,0.00
WBNB/ETH,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,0xEcDC314C01005B96abf8Ef55e669cA2Ea4e53C21,0.00,0.00,-,0.00,0.00
BUSD/VAI,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0x4bd17003473389a42daf6a0a729f6fdb328bbbd7,18,0xF0cC4c563F3EaeB3FfF2341ab2e8Af7923C7D66f,0.00,0.00,-,0.00,0.00
XRP/ETH,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,18,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,0x030423EdE8dCcCb84B33cE3c7202D389658EB8Ff,0.00,0.00,-,0.00,0.00
ADA/USDT,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,18,0x55d398326f99059ff775485246999027b3197955,18,0x0aF5dD8d3cEB768B2BC812BD56490F53e1498573,0.00,0.00,-,0.00,0.00
XRP/CREAM,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,18,0xd4cb328a82bdf5f03eb737f37fa6b370aef3e888,18,0x0Db2E145F020F446cD8845B611F34d4b00FCf68e,0.00,0.00,-,0.00,0.00
ADA/UNI,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,18,0xbf5140a22578168fd562dccf235e5d43a02ce9b1,18,0x0F20120DC7eCA2FC7EB04Da380CC83941139A41E,0.00,0.00,-,0.00,0.00
UNI/DOT,0xbf5140a22578168fd562dccf235e5d43a02ce9b1,18,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,18,0x1344e817D67E22CDB9c19F49C8281405d01A95e6,0.00,0.00,-,0.00,0.00
